vocab,pattern_name,english,japanese
四月,四月の〜,四月の夕べ,an April evening
四月,四月の〜,四月のスケジュール,the schedule for April
四月,四月の〜,四月のミーティング,a meeting in April
四月,四月〜,四月三日,April 3rd
四月,四月〜,四月五日,April 5th
四月,四月〜,四月二日,April 2nd
玉,玉〜,玉どめ,a French knot
玉,玉〜,玉ころがし,rolling balls
玉,玉〜,玉むすび,the knot at the end of a thread
玉,玉を〜,玉をころがす,to roll a ball
玉,玉を〜,玉をなげる,to throw a ball
玉,玉を〜,玉をはじく,to flip a ball
玉,〜の玉,ビリヤードの玉,billiard balls
玉,〜の玉,うどんの玉,a ball of udon noodles
玉,〜の玉,ボーリングの玉,bowling balls
玉,〜玉,大きい玉,a big ball
玉,〜玉,丸い玉,a round ball
玉,〜玉,小さい玉,a small ball
本,〜本,レシピ本,a recipe book
本,〜本,ガイド本,a guidebook
本,〜本,マニュアル本,a manual
本,本の〜,本のテーマ,the theme of the book
本,本の〜,本のページ,the pages of the book
本,本の〜,本のタイトル,a book title
本,本を〜,本をかく,to write a book
本,本を〜,本をかう,to buy a book
本,本を〜,本をよむ,to read a book
子,〜子,かわいい子,a cute kid
子,〜子,小さい子,little kids
子,〜子,いい子,a good kid
子,〜の子,上の子,one's elder child
子,〜の子,その子,that kid
子,〜の子,うちの子,"our child, our children"
丸,丸を〜,丸をつける,to mark as correct
丸,丸を〜,丸をかく,to draw a circle
丸,丸を〜,丸をする,to mark as correct
丸,丸〜,丸テーブル,a round table
丸,丸〜,丸あんき,rote memorization
丸,丸〜,丸イス,a round chair
丸い,丸い〜,丸いもの,round things
丸い,丸い〜,丸いテーブル,a round table
丸い,丸い〜,丸いかたち,a round shape
正しい,正しい〜,正しいメールアドレス,the correct email address
正しい,正しい〜,正しいこと,the right thing
正しい,正しい〜,正しいもの,the correct one
正しい,〜は正しい,それは正しい,that's correct
正しい,〜は正しい,あなたは正しい,you're right
正しい,〜は正しい,これは正しい,this is correct
土,土の〜,土のグラウンド,a dirt playing field
土,土の〜,土のかたまり,lumps of earth
土,土の〜,土のにおい,the smell of soil
土,〜の土,田んぼの土,soil used in a rice paddy
土,〜の土,プランターの土,soil for planters
土,〜の土,山の土,mountain soil
土,土を〜,土をかける,to tip earth onto
土,土を〜,土をほる,to dig up the soil
土,土を〜,土をかぶせる,to cover with earth
土,土に〜,土にうめる,to bury in the ground
土,土に〜,土にまぜる,to mix with soil
土,土に〜,土になる,to turn into soil
犬,犬が〜,犬がほえる,a dog barks
犬,犬が〜,犬がいる,there's a dog
犬,犬が〜,犬がくる,a dog is coming
犬,犬を〜,犬をさんぽする,to walk a dog
犬,犬を〜,犬をしつける,to train a dog
犬,犬を〜,犬をむかえる,to get a dog
犬,犬の〜,犬のしつけ,dog training
犬,犬の〜,犬のさんぽ,dog walking
犬,犬の〜,犬のフン,dog poop
八日,〜八日,五月八日,May 8
八日,〜八日,六月八日,June 8
八日,〜八日,一月八日,January 8
八日,八日の〜,八日のミーティング,meeting on the eighth
八日,八日の〜,八日のシフト,shift for the eighth
八日,八日の〜,八日のパーティー,party on the eighth
出口,〜の出口,トンネルの出口,tunnel exit
出口,〜の出口,インターの出口,interchange exit
出口,〜の出口,ホースの出口,the end of a hose
出口,出口を〜,出口をさがす,to look for the exit
出口,出口を〜,出口をふさぐ,to block the exit
出口,出口を〜,出口を出る,to leave by the exit
出口,出口に〜,出口にある,to be at the exit
出口,出口に〜,出口にいる,to be at the exit
出口,出口に〜,出口にむかう,to head for the exit
目,目の〜,目のまわり,around the eyes
目,目の〜,目のつかれ,eyestrain
目,目の〜,目の下,under the eyes
目,目を〜,目をとじる,to close one's eyes
目,目を〜,目をとおす,to skim through
目,目を〜,目をつぶる,"to close one's eyes, to turn a blind eye"
目,目に〜,目につく,to catch one's eye
目,目に〜,目にする,to see something
目,目に〜,目に入る,to come into view
目玉,〜の目玉,イベントの目玉,the highlights of the event
目玉,〜の目玉,ツアーの目玉,the highlights of the tour
目玉,〜の目玉,さかなの目玉,fish eyes
目玉,目玉〜,目玉メニュー,special menu
目玉,目玉〜,目玉イベント,special events
目玉,目玉〜,目玉サービス,featured services
目玉,目玉を〜,目玉をきょろきょろする,to look around aimlessly
目玉,目玉を〜,目玉をうごかす,to move one's eyes around
目玉,目玉を〜,目玉をかく,to draw eyes on something
二月,二月〜,二月七日,February 7
二月,二月〜,二月三日,February 3
二月,二月〜,二月六日,February 6
二月,二月の〜,二月のイベント,February events
二月,二月の〜,二月のニュース,February's news
二月,二月の〜,二月のバレンタインデー,Valentine's Day in February
五日,〜五日,五月五日,May 5
五日,〜五日,三月五日,March 5
五日,〜五日,一月五日,January 5
五日,五日の〜,五日のミーティング,a meeting on the fifth
五日,五日の〜,五日のスケジュール,the schedule for the fifth
五日,五日の〜,五日のライブ,a live performance on the fifth
五十,五十 + unit,五十ドル,fifty dollars
五十,五十 + unit,五十円,fifty yen
五十,五十 + unit,五十メートル,fifty meters
火,火を〜,火をとめる,to turn off the stove
火,火を〜,火をつける,"to light a fire, to turn on the stove"
火,火を〜,火をけす,"to put out fire, to turn off the stove"
火,火が〜,火がつく,to catch fire
火,火が〜,火がきえる,to extinguish
火,火が〜,火がとおる,to cook through
火,火の〜,火のそば,by the fire
火,火の〜,火のこ,sparks
五,五 + counter,五人,five people
五,五 + counter,五才,five years old
五,五 + counter,五月,May
五つ,五つの〜,五つのステップ,five steps
五つ,五つの〜,五つのグループ,five groups
五つ,五つの〜,五つのポイント,five points
五つ,〜の五つ,上の五つ,the five things above
五つ,〜の五つ,下の五つ,the five things below
五つ,〜の五つ,つぎの五つ,the next five things
五つ,〜五つ,その五つ,those five
五つ,〜五つ,この五つ,these five
五つ,〜五つ,もうすぐ五つ,almost five years old
四,四 + unit,四センチ,four centimeters
四,四 + unit,四メートル,four meters
四,四 + unit,四トン,four tons
